Name,Symbol,Decimals,Chain,Token Address,dailyLimit,executionDailyLimit,minPerTx,maxPerTx,dailyLimit (raw),executionDailyLimit (raw),minPerTx (raw),maxPerTx (raw)
"Brazilian real",WBRL,18,Gnosis,0xD76f5Faf6888e24D9F04Bf92a0c8B921FE4390e0,0,0,0,0,0,0,0,0
"Brazilian real",WBRL,18,Ethereum,null,null,null,null,null,null,null,null,null
"Jarvis Synthetic Euro",JEUR,18,Gnosis,0x9fB1d52596c44603198fB0aee434fac3a679f702,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Jarvis Synthetic Euro",JEUR,18,Ethereum,null,null,null,null,null,null,null,null,null
"Giveth",GIV,18,Gnosis,0x4f4F9b8D5B4d0Dc10506e5551B0513B61fD59e75,60000000.000000000000000001,1000000000000000000,0.000000000000000001,60000000,60000000000000000000000001,1000000000000000000000000000000000000,1,60000000000000000000000000
"Giveth",GIV,18,Ethereum,0x900dB999074d9277c5DA2A43F252D74366230DA0,1000000000000000000,60000000.000000000000000001,0.000000000000000001,1000000000,1000000000000000000000000000000000000,60000000000000000000000001,1,1000000000000000000000000000
"DeHive",DHV,18,Gnosis,0xFbdd194376de19a88118e84E279b977f165d01b8,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"DeHive",DHV,18,Ethereum,null,null,null,null,null,null,null,null,null
"Euro Coin",EURC,6,Gnosis,0x54E4cB2a4Fa0ee46E3d9A98D13Bea119666E09f6,10000000000000000000,10000000000000000000,0.000001,1000000000000000000,10000000000000000000000000,10000000000000000000000000,1,1000000000000000000000000
"Euro Coin",EURC,6,Ethereum,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,10000000000000000000,10000000000000000000,0.000001,1000000000000000000,10000000000000000000000000,10000000000000000000000000,1,1000000000000000000000000
"Argentine Peso",WARS,18,Gnosis,0x0DC4F92879B7670e5f4e4e6e3c801D229129D90D,0,0,0,0,0,0,0,0
"Argentine Peso",WARS,18,Ethereum,null,null,null,null,null,null,null,null,null
